id,brand,brewer,breweryId,pref,muni,reg,areaId,f1,f2,f3,f4,f5,f6,rank,tango,umap_x,umap_y,pca_x,pca_y
3590,瀧嵐,高知酒造,1327,高知県,吾川郡いの町,中部,39,0.28810761920741895,0.36183238876169255,0.2805646609520515,0.38538780529997385,0.5935754278220038,0.45442187913270093,,False,0.57421863,3.5722756,1.390918264952224,3.029777271256606
3593,飛龍,新澤醸造店,42,宮城県,大崎市,県北（大崎・栗原）,4,0.4134933779063486,0.43124977182768676,0.2003409299745444,0.41938805984897604,0.4233316815950383,0.4978095169009219,,False,0.9079638,5.1640267,1.8426371944308662,1.2265562568794204
3597,花の香,花の香酒造,1140,熊本県,玉名郡和水町,県北,43,0.6072592390417973,0.44243071451962457,0.18840652262726973,0.2634277057621498,0.20588056947298963,0.5368550052201241,,False,-1.0630735,9.54836,3.061044191408515,-1.4649042867748026
3601,山鶴,中本酒造店,1330,奈良県,生駒市,北西部（奈良盆地）,29,0.30764368102093387,0.5522385475810856,0.36864416456228827,0.4314852705107537,0.3510216469424435,0.39381937069889256,,False,4.9437723,6.825151,-0.5954780585222726,0.3747803426357917
3610,遠藤,遠藤酒造場,402,長野県,須坂市,北信,20,0.35170425631995195,0.5839013872926845,0.293512599316416,0.5559361088285988,0.22474666619951578,0.29939542244220907,,False,6.321393,7.1800275,-1.263569542899781,-0.2964659261607791
3616,若竹屋,若竹屋酒造場,934,福岡県,久留米市,筑後,40,0.33791178551452283,0.6211990844062715,0.411580236108557,0.32669646516546186,0.23193908504731747,0.41231385189419334,,False,4.1323266,9.897217,-0.7137697283035074,-1.3053620143914075
3621,和の月,月の井酒造店,1126,茨城県,東茨城郡大洗町,県央,8,0.11373321000168017,0.6444752159511205,0.5693893673913194,0.4222462012327628,0.18152328785747474,0.19044590512556792,,False,11.330401,5.3821797,-3.9699719484886833,-0.6667750507258471
3624,泉,,811,兵庫県,神戸市東灘区,灘五郷,28,0.3442549841735031,0.35851255545138,0.348382647522332,0.1172736103158968,0.4986918800419267,0.6075690030477829,,False,0.022671463,3.8650126,2.8515194628289713,1.265940427178387
3627,奥能登の白菊,白藤酒造店,895,石川県,輪島市,能登,17,0.3240295265246562,0.5591553496805138,0.32995164145789496,0.5414050330541287,0.20049411598581907,0.3743858635176184,,False,5.805815,6.47835,-1.023404947470721,-0.2572841447782579
3629,喜多の華,喜多の華酒造場,134,福島県,喜多方市,会津,7,0.3455293459900651,0.5690180278412545,0.4347623975425593,0.42499046103543325,0.2631372209964643,0.34344071350019134,,False,7.4449806,6.9967003,-1.1715674853230127,-0.47040715426626584
3663,弥栄鶴,竹野酒造,841,京都府,京丹後市,丹後,26,0.34526487475882806,0.5853332266366188,0.3771946436671919,0.3542356134514777,0.21929553948676336,0.4715166777173214,,True,3.8958986,9.100603,-0.15549139395125616,-1.0719924996838688
3668,大治郎,畑酒造,897,滋賀県,東近江市,湖東,25,0.1827001492564586,0.5990625072882365,0.5562292577471588,0.33675402187751424,0.30353859519688015,0.30465526521704345,,False,9.512544,5.712881,-2.4003112568986187,-0.17500970105244218
3669,長命泉,滝沢本店,1339,千葉県,成田市,北総,12,0.31580334262849186,0.5241642265636228,0.27901364933543554,0.4762870144835992,0.34689391676443637,0.4477575082634364,,False,3.5941806,5.5542226,0.11032996947326373,0.6950921784624655
3677,木曽三川,内藤醸造,1344,愛知県,稲沢市,尾張,23,0.23492473783069637,0.4889388055157583,0.7042393652520688,0.3530259779230021,0.14268951963278043,0.25457511336310923,,False,10.965038,5.001105,-2.8544293973946284,-0.6838128401412898
3679,千歳鶴,日本清酒,1113,北海道,札幌市,道央,1,0.30909839155875385,0.5119088040117248,0.3198782771800386,0.44191642590567765,0.3708381193524267,0.45527399469914187,,False,2.9878116,5.3011565,0.1324112192105033,0.8054219221400817
3687,望,外池酒造店,1474,栃木県,芳賀郡益子町,県央,9,0.44330158857869123,0.5604394831241242,0.2631547292135973,0.2820947490854275,0.2719322661516475,0.5163489817708085,,False,1.4000132,9.373673,1.4102290077685251,-1.1568694351285236
3693,さんずい,,798,新潟県,東蒲原郡阿賀町,下越,15,0.36790816648793606,0.6224864218011658,0.29429723042750894,0.4235846464500937,0.2699075854635987,0.3718458262080176,,False,5.527154,8.56383,-0.5315658177590252,-0.7904552599168237
3704,聖,聖酒造,1010,群馬県,渋川市,中毛,10,0.48493311954759216,0.45991590384781234,0.19518490393213564,0.23905401725045072,0.22146395941536026,0.6395521681201514,,False,-1.4393996,9.185527,3.075468466546877,-1.1158106480581793
3710,稲花,稲花酒造,997,千葉県,長生郡一宮町,九十九里・外房,12,0.2847527505014112,0.5876462165045624,0.3641407244077559,0.4402571416268887,0.29450593447121864,0.40053618056962703,,False,6.3234076,6.66083,-0.8995898585533216,-0.0820879817327056
3714,神杉,神杉酒造,1347,愛知県,安城市,西三河,23,0.1915431277283489,0.6613387867631717,0.4316641264969538,0.33786950351942874,0.3759012126890535,0.29008756975905253,,False,8.36549,5.914271,-2.0774116543216166,-0.0901380227160137
3717,陣屋,有賀醸造,1440,福島県,白河市,中通り,7,0.39477163176618313,0.42419876533213685,0.25080425389633754,0.31449400935683497,0.45015356580445903,0.5475064179925663,,False,0.06125835,5.0742173,2.193274494630201,1.11058856358728
3722,信州亀齢,岡崎酒造,990,長野県,上田市,東信,20,0.4912924281082379,0.5057910454324217,0.22245010408703847,0.3094039105882533,0.2606583464780209,0.5381910127079377,17.0,False,-0.24333373,8.901017,2.0617385489843736,-0.9450169044261957
3727,喜久盛,喜久盛酒造,846,岩手県,北上市,県南,3,0.2900589238092476,0.5932164565637768,0.4737713868643037,0.36509185287148366,0.2513522187557677,0.37819403811090374,,False,8.564756,6.405727,-1.33488492572846,-0.7220720112332564
3737,女城主,岩村醸造,1349,岐阜県,恵那市,東濃,21,0.25565173398993624,0.5689616345222756,0.28746165643829036,0.44963548820778393,0.38425582012119147,0.42245240900552583,,False,3.3558323,4.9434624,-0.3839275817300615,0.7691230770135676
3744,銀シャリ,白杉酒造,1196,京都府,京丹後市,丹後,26,0.3892530540554512,0.501907985720413,0.30302225694172097,0.43110531163034027,0.31732590547651823,0.4671192840957674,,True,2.5596924,6.18771,0.6120362350598981,0.20793910021298811
